NHA_join_ID,SITE_NAME
alj82942,Allegheny River Pool #6
alj84570,Cherry Run North
alj84567,Conemaugh River at Blairsville
alj84563,Conemaugh River at Old River Hill Rd
alj84559,Cramer Pike
alj84572,East Pike
alj84566,Toms Run at Pine Ridge Park
alj82511,Carnahan Run at Stitts Run Road
alj82517,Cherry Run at Cochrans Mills
alj84973,Conemaugh Reservoir
alj82515,Crooked Creek at Iron Bridge Road
alj82522,Crooked Creek at Rossford
alj82514,Whiskey Run
alj78849,Toms Run Woods
alj84145,Nashville Swamp
alj84564,Jericho Rd
alj84575,Anthony Run
alj84972,Bairdstown
alj84576,Curry Run
alj85003,Hawk Marsh
alj88641,Mine Road
alj86743,Oakland
alj82926,Redbank Creek
alj86712,Bald Knob Reclaimed Strip Mine
alj85825,Branchton Road
alj85847,Connoquenessing Creek at Welsh Road
alj85419,County Line Grasslands
alj87759,Donegal Lake
alj86741,Downtown Pittsburgh
alj84981,Heather Heights Road
alj86711,Imperial Mine Grassland
alj82940,Keystone Lake
alj87750,Laurelville Mennonite Road
alj85832,Swamp Run Marsh
alj82508,Brady Run at Ray Road
alj82506,Buffalo Creek at Craigsville
alj86780,Buffalo Creek South
alj86693,Crouse Run Valley
alj86685,Linbrook Woodlands Conservation Area
alj84577,Montgomery Road
alj86684,State Game Lands #203
alj86779,Sugarcamp Run
alj88197,Trout Run Hill
alj86694,Willow Run Slopes
alj88626,Big Sandy Creek
alj82509,Carnahan Run
alj88616,Deadman Run
alj82945,Pine Hollow Road
alj86749,Restland Memorial Park
alj82105,Todd Sanctuary
alj84574,White's Woods
alj86778,Buffalo Creek at Dutch Fork
alj82524,Cherry Run at US 422
alj84985,Honey Creek
alj86750,Leak Run
alj82525,Plum Creek at Crooked Creek
alj82935,Redbank Creek at Mayport
alj88622,Deadman Run Headwaters
alj88614,Fort Necessity
alj84990,Jenkins Run
alj86742,Schenley Park
alj82526,South Branch Plum Creek
