OBJECTID,COUNTY,MUNICIPALITY,NHA_JOIN_ID,GlobalID,created_user,created_date,last_edited_user,last_edited_date
1313,Washington,Fallowfield Township,alj86814,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:32:23,ctraceyWPC,1/7/2020 20:32:23
1314,Washington,Charleroi Borough,alj86814,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:32:23,ctraceyWPC,1/7/2020 20:32:23
1315,Washington,Long branch Borough,alj86814,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:32:23,ctraceyWPC,1/7/2020 20:32:23
1316,Washington,Speers Borough,alj86814,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:32:23,ctraceyWPC,1/7/2020 20:32:23
1317,Washington,Twilight Borough,alj86814,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:32:23,ctraceyWPC,1/7/2020 20:32:23
1318,Washington,California Borough,alj86815,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:32:37,ctraceyWPC,1/7/2020 20:32:37
1319,Fayette,Washington Township,alj86816,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:32:51,ctraceyWPC,1/7/2020 20:32:51
1320,Fayette,Fayette city Borough,alj86816,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:32:51,ctraceyWPC,1/7/2020 20:32:51
1321,Washington,Dunlevy Borough,alj86816,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:32:51,ctraceyWPC,1/7/2020 20:32:51
1322,Washington,Allenport Borough,alj86816,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:32:51,ctraceyWPC,1/7/2020 20:32:51
1323,Fayette,Luzerne Township,alj86817,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:33:06,ctraceyWPC,1/7/2020 20:33:06
1324,Washington,Centerville Borough,alj86817,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:33:06,ctraceyWPC,1/7/2020 20:33:06
1325,Washington,Centerville Borough,alj86818,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:33:22,ctraceyWPC,1/7/2020 20:33:22
1326,Washington,North strabane Township,alj86819,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:33:35,ctraceyWPC,1/7/2020 20:33:35
1327,Washington,North strabane Township,alj86820,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:33:49,ctraceyWPC,1/7/2020 20:33:49
1328,Washington,Peters Township,alj86820,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:33:49,ctraceyWPC,1/7/2020 20:33:49
1329,Washington,Donegal Township,alj87706,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:34:03,ctraceyWPC,1/7/2020 20:34:03
1330,Washington,West finley Township,alj87706,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:34:03,ctraceyWPC,1/7/2020 20:34:03
1331,Washington,West finley Township,alj87707,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:34:17,ctraceyWPC,1/7/2020 20:34:17
1332,Washington,West finley Township,alj87708,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:34:31,ctraceyWPC,1/7/2020 20:34:31
1333,Washington,Morris Township,alj87709,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:34:45,ctraceyWPC,1/7/2020 20:34:45
1334,Washington,Buffalo Township,alj87710,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:34:58,ctraceyWPC,1/7/2020 20:34:58
1335,Washington,South franklin Township,alj87710,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:34:58,ctraceyWPC,1/7/2020 20:34:58
1336,Washington,Green hills Borough,alj87710,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:34:58,ctraceyWPC,1/7/2020 20:34:58
1337,Greene,Morris Township,alj87711,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:35:12,ctraceyWPC,1/7/2020 20:35:12
1338,Washington,Morris Township,alj87711,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:35:12,ctraceyWPC,1/7/2020 20:35:12
1339,Washington,Amwell Township,alj87712,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:35:26,ctraceyWPC,1/7/2020 20:35:26
1340,Washington,Morris Township,alj87712,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:35:26,ctraceyWPC,1/7/2020 20:35:26
1341,Washington,South franklin Township,alj87712,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:35:26,ctraceyWPC,1/7/2020 20:35:26
1342,Washington,Amwell Township,alj87713,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:35:41,ctraceyWPC,1/7/2020 20:35:41
1343,Washington,Amwell Township,alj87714,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:35:55,ctraceyWPC,1/7/2020 20:35:55
1344,Washington,North bethlehem Township,alj87714,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:35:55,ctraceyWPC,1/7/2020 20:35:55
1345,Washington,West bethlehem Township,alj87714,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:35:55,ctraceyWPC,1/7/2020 20:35:55
1346,Washington,South strabane Township,alj87714,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:35:55,ctraceyWPC,1/7/2020 20:35:55
1347,Washington,North bethlehem Township,alj87715,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:10,ctraceyWPC,1/7/2020 20:36:10
1348,Washington,Somerset Township,alj87715,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:10,ctraceyWPC,1/7/2020 20:36:10
1349,Washington,North bethlehem Township,alj87716,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:24,ctraceyWPC,1/7/2020 20:36:24
1350,Washington,Somerset Township,alj87716,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:25,ctraceyWPC,1/7/2020 20:36:25
1351,Washington,Cokeburg Borough,alj87716,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:25,ctraceyWPC,1/7/2020 20:36:25
1352,Washington,Fallowfield Township,alj87717,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:39,ctraceyWPC,1/7/2020 20:36:39
1353,Washington,Somerset Township,alj87717,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:39,ctraceyWPC,1/7/2020 20:36:39
1354,Washington,West pike run Township,alj87717,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:39,ctraceyWPC,1/7/2020 20:36:39
1355,Washington,Beallsville Borough,alj87717,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:39,ctraceyWPC,1/7/2020 20:36:39
1356,Washington,Bentleyville Borough,alj87717,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:39,ctraceyWPC,1/7/2020 20:36:39
1357,Washington,Ellsworth Borough,alj87717,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:39,ctraceyWPC,1/7/2020 20:36:39
1358,Washington,West pike run Township,alj87718,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:53,ctraceyWPC,1/7/2020 20:36:53
1359,Washington,Centerville Borough,alj87718,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:36:53,ctraceyWPC,1/7/2020 20:36:53
1360,Washington,West pike run Township,alj87719,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:37:07,ctraceyWPC,1/7/2020 20:37:07
1361,Washington,Beallsville Borough,alj87720,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:37:21,ctraceyWPC,1/7/2020 20:37:21
1362,Washington,Deemston Borough,alj87720,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:37:21,ctraceyWPC,1/7/2020 20:37:21
1363,Greene,Jefferson Township,alj87721,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:37:35,ctraceyWPC,1/7/2020 20:37:35
1364,Washington,East bethlehem Township,alj87721,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:37:35,ctraceyWPC,1/7/2020 20:37:35
1367,Washington,Mount pleasant Township,alj90239,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:38:03,ctraceyWPC,1/7/2020 20:38:03
1368,Washington,Smith Township,alj90239,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:38:03,ctraceyWPC,1/7/2020 20:38:03
1369,Washington,Somerset Township,alj90258,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:38:17,ctraceyWPC,1/7/2020 20:38:17
1370,Washington,Robinson Township,alj90259,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:38:31,ctraceyWPC,1/7/2020 20:38:31
1372,Washington,Hanover Township,ct62151,{00000000-0000-0000-0000-000000000000},ctraceyWPC,1/7/2020 20:38:59,ctraceyWPC,1/7/2020 20:38:59
