OBJECTID,Site Name,Brief Description,NHA Join ID,COUNTY_NAM
198,State Game Lands #203,A sensitive species of concern is found in the sloping forest near Big Sewickley Creek.,alj86684,ALLEGHENY
199,Linbrook Woodlands Conservation Area,A small community of concern and a sensitive species of concern are found here.,alj86685,ALLEGHENY
205,Devil's Hollow Conservation Area,A plant species of concern is found in these forested slopes.,alj86688,ALLEGHENY
206,Sewickley Heights Borough Park,A rare dragonfly species is found around a small stream in Sewickley Heights.,alj86689,ALLEGHENY
207,North Park Lake,A variety of species of concern rely on North Park Lake and its shoreline for habitat.,alj86690,ALLEGHENY
208,North Park at Pine Creek,A sensitive species of concern occurs along the forested hillside near Pine Creek in North Park.,alj86691,ALLEGHENY
209,Pine Creek,Two fish species of concern inhabit Pine Creek.,alj86692,ALLEGHENY
210,Crouse Run Valley,A sensitive species of concern is found in the wooded slopes along Crouse Run.,alj86693,ALLEGHENY
211,Willow Run Slopes,A sensitive species of concern is found in a small patch of sloping woodland.,alj86694,ALLEGHENY
212,Bald Knob Reclaimed Strip Mine,A reclaimed strip mine provides habitat for a bird species of concern.\,alj86712,ALLEGHENY
213,Boyce Mayview Park,"The wetlands, woodlands, and floodplains along Chartiers Creek support a number of species of concern.",alj86713,ALLEGHENY
214,South Park,"A plant species of concern is found in a mesic, early successional forest.",alj86714,ALLEGHENY
215,Boyce Park,Several species of concern are found in the woods in and around Boyce Park.,alj86715,ALLEGHENY
216,Heritage Park,A sensitive species of concern is found in forested slopes and ravines in between developed areas.,alj86716,ALLEGHENY
217,McGovern Boulevard,Bald eagles nest along McGovern Boulevard.,alj86717,ALLEGHENY
218,Lashell's Hollow,A plant species of concern occurs in a steep ravine along a tributary leading into the Ohio River.,alj86718,ALLEGHENY
219,Montour Run,A sensitive species of concern relies on Montour Run for habitat.,alj86719,ALLEGHENY
220,Montour Run at Robinson,Two sensitive species of concern rely on Montour Run and the remaining forested hillsides along the stream for habitat.,alj86720,ALLEGHENY
221,Pittsburgh Botanic Garden,A butterfly species of concern is found in the forests in and around the Pittsburgh Botanic Garden.,alj86721,ALLEGHENY
222,Kelso Road,The patchy forested landscape supports a butterfly species of concern.,alj86722,ALLEGHENY
223,Millers Run,A sensitive species of concern is found along the forested slopes near Millers Run.,alj86723,ALLEGHENY
224,Sygan Hill,A Pennsylvania-endangered plant grows in a small forest patch with a right-of-way corridor.,alj86724,ALLEGHENY
225,McLaughlin Run at Highway 79,Blue herons nest in wetlands near the highway.,alj86725,ALLEGHENY
226,Bower Hill Road,"A sensitive species of concern is found in a small, sloping forest patch near Painters Run.",alj86726,ALLEGHENY
227,Greentree,A peregrine falcon has nested in Greentree in recent years.,alj86727,ALLEGHENY
228,Twin Hills Park,Two rare snail species inhabit Twin Hills Park.,alj86728,ALLEGHENY
229,Peter Page Park,A small undeveloped section of a stream valley provides habitat for a butterfly species of concern.,alj86729,ALLEGHENY
230,South Park at Brownsville Road,A rare plant species grows in a small forest patch in South Park.,alj86730,ALLEGHENY
231,Peters Creek Road,"Wetlands, marshes, and forest patches along small streams provide habitat for multiple species of concern.",alj86731,ALLEGHENY
233,River Hill Road,A small patch of rich forest supports a plant species of concern.,alj86732,ALLEGHENY
234,Beckets Run,Multiple species of concern are found along small stream valleys.,alj86733,ALLEGHENY
236,Round Hill Park,Disturbed patchy woodlands and fields provide habitat for multiple plant and butterfly species of concern.,alj86734,ALLEGHENY
237,Dead Man's Hollow,Two rare plant species are found in sloping Dead Man's Hollow Preserve.,alj86735,ALLEGHENY
238,Highland Road,A rare plant species of concern uses this forest as habitat.,alj86736,ALLEGHENY
239,Youghiogheny River at Elizabeth,A bald eagle nests along the Youghigheny River in Elizabeth.,alj86737,ALLEGHENY
240,Youghiogheny River at Versailles,A rare dragonfly inhabits this stretch of the Youghigheny River.,alj86738,ALLEGHENY
241,Monongahela River at New Eagle,A variety of species are found in this stretch of the Monongahela River and along the floodplains.,alj86739,ALLEGHENY
323,Fifth Avenue,A steep wooded hillside provides habitat for a tree species of concern.,alj86744,ALLEGHENY
324,Frick Park,Frick Park hosts multiple tree and invertebrate species of concern.,alj86745,ALLEGHENY
325,Edgewood,A rare tree species grows in a forest patch along the road.,alj86746,ALLEGHENY
326,Swissvale,A rare tree species grows in a wooded patch along the road.,alj86747,ALLEGHENY
327,East Pittsburgh,A peregrine falcon nests in East Pittsburgh.,alj86748,ALLEGHENY
328,Restland Memorial Park,A butterfly species of concern uses habitat near a pond in a park.,alj86749,ALLEGHENY
329,Leak Run,A sensitive species of concern relies on Leak Run for habitat.,alj86750,ALLEGHENY
330,Churchill,A rare species of snail inhabits this residential neighborhood.,alj86751,ALLEGHENY
331,Highland Park,Highland Park hosts several rare plants and snail species of concern.,alj86752,ALLEGHENY
332,Glennwood Slopes,Steep slopes overlooking the Monogahela River provide habitat for a plant species of concern.,alj86753,ALLEGHENY
333,Monongahela River at Homestead,This stretch of the Monongahela River supports several aquatic and riparian species of concern.,alj86754,ALLEGHENY
334,Emerald View Park,Emerald View Park supports two rare snail species of concern,alj86755,ALLEGHENY
355,Canonsburg Lake,Two species of concern inhabit the shoes of Canonsburg Lake.,alj86776,ALLEGHENY
358,Saxonburg Boulevard,Small forest patch supports a butterfly and a moth species of concern.,alj86699,ALLEGHENY
359,Cunningham Run,A sensitive species of concern inhabits the rich woods along Cunningham Run.,alj86700,ALLEGHENY
360,Blue Run,Wooded mesic slopes support a sensitive species of concern.,alj86701,ALLEGHENY
361,Beechwood Farms Nature Reserve,Beechwood Farms Nature Reserve supports multiple rare dragonfly and damselfly species.,alj86702,ALLEGHENY
362,Salamander Park,Two species of concern are found along Squaw Run.,alj86703,ALLEGHENY
363,Ohio River Allegheny County,Many species of concern rely on this stretch of the Ohio River for habitat.,alj86704,ALLEGHENY
365,Lower Allegheny River Islands,"This stretch of the Allegheny River, the islands, and river shores, support a variety of species of concern.",alj86705,ALLEGHENY
366,Allegheny River at Pittsburgh,Numerous species of concern inhabit the Allegheny River as it flows past Pittsburgh.,alj86706,ALLEGHENY
367,Allegheny River at New Kensington,Several species are reliant on this stretch of the Allegheny River for habitat.,alj86707,ALLEGHENY
370,Long Run,A plant species of concern is found in a steep ravine near Long Run.,alj86709,ALLEGHENY
371,Bull Creek,A sensitive species of concern inahbits the slopes above Bull Creek.,alj86710,ALLEGHENY
372,West Branch Deer Creek,"A rare butterfly species is supported by open, wet habitat along West Branch Deer Creek.",alj86696,ALLEGHENY
459,Guffy Hollow,Complex of stream valleys and mesic forest supports a variety of species of concern.,alj87741,ALLEGHENY
582,Oakland,A peregrine falcon nests in this urban neighborhood.,alj86743,ALLEGHENY
583,Schenley Park,Tree and snail species of concern are found in an urban park.,alj86742,ALLEGHENY
584,Imperial Mine Grassland,Three bird species of concern rely on a reclaimed mine for habitat.,alj86711,ALLEGHENY
587,Downtown Pittsburgh,Peregrine falcons nest downtown on the tops of buildings.,alj86741,ALLEGHENY
646,Allegheny River Pool #4,"This pool in the Allegheny River, and the surrounding riparian areas, host many species of concern.",alj83344,ALLEGHENY
654,Perry Highway,A rare plant species grows in wet open areas along Perry Highway.,alj86695,ALLEGHENY
655,Little Sewickley Creek,A rare dragonfly is found along Little Sewickley Creek.,alj86686,ALLEGHENY
656,Big Sewickley Creek Woods,Many blue herons nest in the woods along Big Sewickley Creek.,alj86669,ALLEGHENY
658,Deer Creek,Two rare fish species are found in Deer Creek and a rare butterfly occurs in Emmerling Park.,alj86698,ALLEGHENY
687,Turtle Creek Slopes,The mesic forested slopes above Turtle Creek support sensitive species of concern.,alj90261,ALLEGHENY
690,Riverview Park,A rare tree species is found in Riverview Park.,alj90263,ALLEGHENY
691,Fern Hollow,A sensitive species of concern occurs in protected park land in Sewickley.,alj90264,ALLEGHENY
692,Harrison Hills,Two sensitive species of concern occur along the banks of the Allegheny River.,alj90266,ALLEGHENY
694,Irwin Run,"A rare dragonfly species uses Irwin Run, near North Park, as habitat.",alj90267,ALLEGHENY
23,Huling Run,Shady hemlock stream provides habitat for a dragonfly species of concern.,alj79301,ARMSTRONG
24,Allegheny River Slope at Cosmus,The slopes along the Allegheny River provide habitat for two species of concern.,alj79701,ARMSTRONG
25,South Fork Pine Creek,A rocky creek provides habitat for a species of concern.,alj81302,ARMSTRONG
26,South Fork Pine Creek at Oscar,Creek provides habitat for a species of concern.,alj81702,ARMSTRONG
27,Upper Buffalo Creek,Aquatic and riparian habitats along Buffalo Creek support a variety of species of concern.,alj81704,ARMSTRONG
29,Cornplanter Run-Armstrong & Butler Counties,Stream habitat provides habitat for a species of concern.,alj81712,ARMSTRONG
31,Brady Run at Ray Road,Open woods provide habitat for a plant species of concern.,alj82508,ARMSTRONG
