"","x"
"1","Ambridge Reservoir"
"2","Baidland"
"3","Bear Creek"
"4","Bear Creek and North Branch Valleys"
"5","Beaver Falls"
"6","Beaver River near Fallston"
"7","Big Beaver Borough Wetlands"
"8","Big Run"
"9","Big Sewickley Creek Woods"
"10","Brady's Run County Park"
"11","Branchton Bottoms"
"12","Brush Creek at Glen Eden Road"
"13","Brush Creek Park"
"14","Buffalo Creek near Freeport"
"15","Bulldog Run"
"16","Carlton Drive"
"17","Christie Run"
"18","Coal Run Valley"
"19","Connoquenessing Creek at Nagel Road"
"20","Connoquenessing Creek at Old Furnace Road"
"21","Connoquenessing Creek at Shannon Road"
"22","Connoquenessing Creek at Twin Oak Lane"
"23","Connoquenessing Creek at Wahlville"
"24","Cornplanter Run-Armstrong & Butler Counties"
"25","Cottage Road"
"26","Crab Run Road"
"27","Darlington Swamp and North Fork Little Beaver Creek"
"28","East Portersville Road"
"29","Fallston"
"30","Flinner Road"
"31","Friendship Hill Slopes"
"32","Garrison Fork"
"33","Glade Run"
"34","Glade Run"
"35","Glade Run at Glade Mills"
"36","Golden Oaks Road"
"37","Greene Valley Road"
"38","Hall Road"
"39","Hero Road"
"40","Honey Creek"
"41","Jacksville Esker"
"42","Jennings Environmental Education Center"
"43","Knob Run"
"44","Lake Arthur"
"45","Little Beaver Creek at New Galilee"
"46","Little Beaver Creek Floodplain"
"47","Little Buffalo Creek at Lernerville"
"48","Little Service Run"
"49","Logan Road Woodlot"
"50","Lower Raccoon Creek"
"51","Mahoning Creek Reservoir Shoreline"
"52","Merriman's Lake"
"53","Mill Creek in Beaver County"
"54","Monaca Bluffs"
"55","Muddy Creek Marsh"
"56","Nemacolin"
"57","New Freeport"
"58","North Branch Brady Run"
"59","North Branch Slippery Rock Creek"
"60","North Fork Big Sewickley Creek"
"61","North Fork Little Beaver Creek at State Game Land 285"
"62","North Shore Cove Marsh"
"63","Old Fork Kings Creek"
"64","Oneida Valley Reservoir"
"65","Patterson Road"
"66","Pigeon Creek"
"67","Prospect Road"
"68","Raccoon Creek State Park"
"69","Raccoon Creek Valley"
"70","Raccoon Creek Wildflower Preserve"
"71","Rock Falls Park"
"72","Roenigk Lane"
"73","Shields Road"
"74","Slippery Rock Creek at Elliots Mills"
"75","Slippery Rock Creek Natural Area"
"76","Slippery Rock Creek Tributary"
"77","South Branch Little Scrubgrass Creek"
"78","South Ragan Road"
"79","State Game Land #95"
"80","Stockman Run"
"81","Tamarack Lake"
"82","The Glades Wildlife Area"
"83","Thorn Creek"
"84","Thorn Creek at Dinnerbell Road"
"85","Thorn Reservoir"
"86","Upper Buffalo Creek"
"87","West Liberty Fen"
"88","West Liberty Road"
"89","Whiteley Creek at Mapletown"
"90","Wolf Creek Valley"
